TransactionID,CustomerType,ProductCategory,Product,Quantity,PricePerUnit,TotalAmount,PaymentMethod,StoreLocation,Date,WeatherCondition,TrafficStatus,StoreMusicPlaying,EmployeeOnDuty,NearbyEvents
TX00001,Guest,Personal Care,Soap,1.0,1162.68,1162.68,Credit Card,Pokhara,2024-01-01 00:00:00,Sunny,Light,Rock,David,Political Rally
TX00002,Regular,Toys & Games,Rubik's Cube,1.0,1085.59,1085.59,Debit Card,Biratnagar,2024-01-01 01:00:00,Sunny,Light,Pop,Sarah,Concert
TX00003,,Dairy Products,Condensed Milk,2.0,274.18,548.36,Cash,Chitwan,2024-01-01 02:00:00,Snowy,Light,No Music,David,None
TX00004,Guest,Dairy Products,Milk,1.0,837.96,837.96,Credit Card,Biratnagar,2024-01-01 03:00:00,Cloudy,Light,Jazz,Michael,
TX00005,Regular,Electronics,Mobile Phone,1.0,1299.26,1299.26,Debit Card,Chitwan,,Sunny,Light,Pop,John,Sports Event
TX00006,Guest,,Banana,3.0,1693.42,5080.26,Debit Card,Chitwan,2024-01-01 05:00:00,,Moderate,Rock,Michael,Festival
TX00007,Guest,Bakery,Cake,5.0,801.75,4008.75,Mobile Payment,Chitwan,2024-01-01 06:00:00,Rainy,Heavy,Rock,John,Sports Event
TX00008,Regular,Snacks,Granola Bars,5.0,1514.89,7574.450000000001,Cash,Bhairahawa,2024-01-01 07:00:00,Snowy,Light,Jazz,John,Concert
TX00009,Guest,Clothing,Jacket,4.0,499.12,1996.48,Mobile Payment,Kathmandu,2024-01-01 08:00:00,Rainy,Moderate,Rock,Emily,Political Rally
TX00010,Member,Frozen Foods,Frozen Waffles,2.0,1054.49,2108.98,Mobile Payment,Bhairahawa,2024-01-01 09:00:00,Windy,Heavy,No Music,John,None
TX00011,Regular,Electronics,Charger,4.0,498.48,1993.92,Mobile Payment,Kathmandu,2024-01-01 10:00:00,Cloudy,Moderate,Classical,John,
TX00012,Guest,Grocery,Coffee,4.0,1897.17,7588.68,Credit Card,Biratnagar,2024-01-01 11:00:00,Sunny,Moderate,Classical,David,
TX00013,Member,Clothing,Shirt,5.0,1086.55,5432.75,Debit Card,Chitwan,2024-01-01 12:00:00,Windy,Moderate,Classical,,Concert
TX00014,Regular,Meat & Seafood,Bacon,4.0,539.3,,Debit Card,Chitwan,2024-01-01 13:00:00,Snowy,Moderate,Classical,Michael,Sports Event
TX00015,Guest,Personal Care,Toothbrush,1.0,1894.77,1894.77,Debit Card,Bhairahawa,2024-01-01 14:00:00,Windy,Moderate,Classical,,None
TX00016,Member,Grocery,Spices,4.0,1791.75,7167.0,Mobile Payment,Kathmandu,2024-01-01 15:00:00,Snowy,Heavy,Classical,David,Political Rally
TX00017,Guest,Dairy Products,Whipping Cream,4.0,1399.36,5597.44,Mobile Payment,Kathmandu,2024-01-01 16:00:00,Sunny,Light,,Sarah,None
TX00018,Guest,Clothing,Trousers,5.0,843.6,4218.0,Cash,Chitwan,2024-01-01 17:00:00,Rainy,Heavy,Jazz,David,Concert
TX00019,Regular,Grocery,Spices,5.0,517.01,2585.05,Cash,Biratnagar,2024-01-01 18:00:00,Rainy,Moderate,No Music,Emily,Sports Event
TX00020,,,Hat,4.0,864.31,3457.24,Mobile Payment,Kathmandu,2024-01-01 19:00:00,,Heavy,Jazz,Emily,None
TX00021,Regular,Snacks,Pretzels,4.0,845.66,,Debit Card,Bhairahawa,2024-01-01 20:00:00,Cloudy,Light,Classical,David,None
TX00022,Member,Meat & Seafood,Chicken Breast,2.0,1987.34,3974.68,Debit Card,Biratnagar,2024-01-01 21:00:00,Cloudy,Light,Classical,Sarah,Concert
TX00023,Member,Clothing,Shirt,3.0,581.51,1744.53,Credit Card,Bhairahawa,2024-01-01 22:00:00,Cloudy,Light,,Emily,Concert
TX00024,Guest,Household Items,Dustpan,4.0,630.46,2521.84,,Bhairahawa,2024-01-01 23:00:00,Sunny,Light,Pop,Michael,Political Rally
